Apostasy,a,State,Oscilate,CB,SB,CN,SN,R
0.0,0.0,4,0,0,1,0,0,0.20000572026517477
0.0,0.01,4,0,0,1,0,0,0.20000518492817285
0.0,0.02,4,0,0,1,0,0,0.2000047537103897
0.0,0.03,4,0,0,1,0,0,0.20000463645218328
0.0,0.04,4,0,0,1,0,0,0.2000047269161594
0.0,0.05,4,0,0,1,0,0,0.20000610323264031
0.0,0.06,4,0,0,1,0,0,0.20000406530030684
0.0,0.07,4,0,0,1,0,0,0.20000621751552627
0.0,0.08,4,0,0,1,0,0,0.2000047339820243
0.0,0.09,4,0,0,1,0,0,0.20000513695731278
0.0,0.1,4,0,0,1,0,0,0.2000055326114377
0.0,0.11,4,0,0,1,0,0,0.2000051371374572
0.0,0.12,4,0,0,1,0,0,0.2000048218452694
0.0,0.13,4,0,0,1,0,0,0.20000456795979632
0.0,0.14,4,0,0,1,0,0,0.2000047699624412
0.0,0.15,4,0,0,1,0,0,0.20000437136456853
0.0,0.16,4,0,0,1,0,0,0.2000056937655722
0.0,0.17,4,0,0,1,0,0,0.20000516547494457
0.0,0.18,4,0,0,1,0,0,0.19999579192632408
0.0,0.19,4,0,0,1,0,0,0.19999612677692974
0.0,0.2,4,0,0,1,0,0,0.19999503550752812
0.0,0.21,4,0,0,1,0,0,0.1999970932216032
0.0,0.22,4,0,0,1,0,0,0.1999967571850174
0.0,0.23,4,0,0,1,0,0,0.1999936841328499
0.0,0.24,4,0,0,1,0,0,0.19999544301863073
0.0,0.25,4,0,0,1,0,0,0.19999543535251182
0.0,0.26,4,0,0,1,0,0,0.19999532572617576
0.0,0.27,4,0,0,1,0,0,0.19999594670117812
0.0,0.28,4,0,0,1,0,0,0.19999576200621091
0.0,0.29,4,0,0,1,0,0,0.19999681389020102
0.0,0.3,4,0,0,1,0,0,0.19999497367057179
0.0,0.31,4,0,0,1,0,0,0.19999577940535931
0.0,0.32,4,0,0,1,0,0,0.1999952459958848
0.0,0.33,4,0,0,1,0,0,0.19999610228096293
0.0,0.34,4,0,0,1,0,0,0.199994931539848
0.0,0.35000000000000003,4,0,0,1,0,0,0.1999952847862438
0.0,0.36,4,0,0,1,0,0,0.19999609636573892
0.0,0.37,4,0,0,1,0,0,0.20000545904512018
0.0,0.38,4,0,0,1,0,0,0.20000517631971843
0.0,0.39,4,0,0,1,0,0,0.20000594587035075
0.0,0.4,4,0,0,1,0,0,0.20000666255920344
0.0,0.41000000000000003,4,0,0,1,0,0,0.20000427783160554
0.0,0.42,4,0,0,1,0,0,0.20000390342868257
0.0,0.43,4,0,0,1,0,0,0.1999937278881523
0.0,0.44,4,0,0,1,0,0,0.19999388742816038
0.0,0.45,12,0,1,1,0,0,0.20034858447130643
0.0,0.46,8,0,1,0,0,0,0.5399891658933536
0.0,0.47000000000000003,8,0,1,0,0,0,0.5300115013089451
0.0,0.48,8,0,1,0,0,0,0.5200114369057431
0.0,0.49,8,0,1,0,0,0,0.5100125780668433
0.0,0.5,8,0,1,0,0,0,0.500011397561052
0.0,0.51,8,0,1,0,0,0,0.4900130844350395
0.0,0.52,8,0,1,0,0,0,0.480010900088179
0.0,0.53,8,0,1,0,0,0,0.47001197439374937
0.0,0.54,8,0,1,0,0,0,0.4600097869702977
0.0,0.55,8,0,1,0,0,0,0.4499892883639505
0.0,0.56,8,0,1,0,0,0,0.44001082799043745
0.0,0.5700000000000001,8,0,1,0,0,0,0.4300092649750691
0.0,0.58,8,0,1,0,0,0,0.4200111862167067
0.0,0.59,8,0,1,0,0,0,0.4100095386863576
0.0,0.6,8,0,1,0,0,0,0.40000949490368276
0.0,0.61,8,0,1,0,0,0,0.3900099713406826
0.0,0.62,8,0,1,0,0,0,0.3800082623013728
0.0,0.63,8,0,1,0,0,0,0.3700092755008498
0.0,0.64,8,0,1,0,0,0,0.3600085793071146
0.0,0.65,8,0,1,0,0,0,0.35000864405655896
0.0,0.66,8,0,1,0,0,0,0.3400085043420615
0.0,0.67,8,0,1,0,0,0,0.33000893659343
0.0,0.68,8,0,1,0,0,0,0.3200060176394896
0.0,0.6900000000000001,8,0,1,0,0,0,0.3100064578509535
0.0,0.7000000000000001,8,0,1,0,0,0,0.29999179064600173
0.0,0.71,8,0,1,0,0,0,0.29000680556848013
0.0,0.72,8,0,1,0,0,0,0.28000615248794586
0.0,0.73,8,0,1,0,0,0,0.27000558550661863
0.0,0.74,8,0,1,0,0,0,0.2600053286655228
0.0,0.75,8,0,1,0,0,0,0.25000689449654273
0.0,0.76,8,0,1,0,0,0,0.24000638859470177
0.0,0.77,8,0,1,0,0,0,0.2300074570634709
0.0,0.78,8,0,1,0,0,0,0.22000587357973778
0.0,0.79,8,0,1,0,0,0,0.21000764145237927
0.001,0.0,4,0,0,1,0,0,0.20000513899795913
0.001,0.01,4,0,0,1,0,0,0.20000400892865355
0.001,0.02,4,0,0,1,0,0,0.20000559165228288
0.001,0.03,4,0,0,1,0,0,0.20000485465592246
