Apostasy,a,State,Oscilate,CB,SB,CN,SN,R
0.0,0.0,1,0,0,0,0,1,0.20000644906712614
0.0,0.01,1,0,0,0,0,1,0.20000418706110384
0.0,0.02,1,0,0,0,0,1,0.2000055150123369
0.0,0.03,1,0,0,0,0,1,0.20000620203816344
0.0,0.04,1,0,0,0,0,1,0.20000672443802425
0.0,0.05,1,0,0,0,0,1,0.20000720220302068
0.0,0.06,1,0,0,0,0,1,0.20000664153815495
0.0,0.07,1,0,0,0,0,1,0.2000064956928067
0.0,0.08,1,0,0,0,0,1,0.20000536141367056
0.0,0.09,1,0,0,0,0,1,0.20000586204061618
0.0,0.1,1,0,0,0,0,1,0.2000039179325956
0.0,0.11,1,0,0,0,0,1,0.20000552476839653
0.0,0.12,1,0,0,0,0,1,0.20000501754316735
0.0,0.13,1,0,0,0,0,1,0.20000464981577779
0.0,0.14,1,0,0,0,0,1,0.20000466114329632
0.0,0.15,1,0,0,0,0,1,0.2000047932399184
0.0,0.16,1,0,0,0,0,1,0.20000479537823934
0.0,0.17,1,0,0,0,0,1,0.2000049372814603
0.0,0.18,1,0,0,0,0,1,0.20000512946307578
0.0,0.19,1,0,0,0,0,1,0.20000392603485456
0.0,0.2,1,0,0,0,0,1,0.2000043325887167
0.0,0.21,1,0,0,0,0,1,0.19999601071826245
0.0,0.22,1,0,0,0,0,1,0.20000569457178993
0.0,0.23,1,0,0,0,0,1,0.20000561568798556
0.0,0.24,1,0,0,0,0,1,0.2000064547280144
0.0,0.25,1,0,0,0,0,1,0.20000726392943388
0.0,0.26,1,0,0,0,0,1,0.19999590245789958
0.0,0.27,1,0,0,0,0,1,0.19999591242540848
0.0,0.28,1,0,0,0,0,1,0.1999937114948355
0.0,0.29,1,0,0,0,0,1,0.1999969834473551
0.0,0.3,1,0,0,0,0,1,0.19999299507236054
0.0,0.31,1,0,0,0,0,1,0.2000047665904177
0.0,0.32,1,0,0,0,0,1,0.1999961608138459
0.0,0.33,1,0,0,0,0,1,0.1999960896890098
0.0,0.34,1,0,0,0,0,1,0.19999556670629132
0.0,0.35000000000000003,1,0,0,0,0,1,0.19999385322661506
0.0,0.36,1,0,0,0,0,1,0.20000589909811609
0.0,0.37,1,0,0,0,0,1,0.19999469637915318
0.0,0.38,1,0,0,0,0,1,0.19999595184667068
0.0,0.39,1,0,0,0,0,1,0.19999493185174722
0.0,0.4,1,0,0,0,0,1,0.19999627044231483
0.0,0.41000000000000003,1,0,0,0,0,1,0.19999712306392295
0.0,0.42,1,0,0,0,0,1,0.19999475799940347
0.0,0.43,1,0,0,0,0,1,0.1999949678008293
0.0,0.44,1,0,0,0,0,1,0.1999959549486251
0.0,0.45,1,0,0,0,0,1,0.19999611300231393
0.0,0.46,1,0,0,0,0,1,0.19999478187140485
0.0,0.47000000000000003,1,0,0,0,0,1,0.19999292915095132
0.0,0.48,1,0,0,0,0,1,0.19999515910558216
0.0,0.49,1,0,0,0,0,1,0.19999318882301628
0.0,0.5,1,0,0,0,0,1,0.19999339483668443
0.0,0.51,1,0,0,0,0,1,0.19999615453615235
0.0,0.52,1,0,0,0,0,1,0.19999480152403448
0.0,0.53,1,0,0,0,0,1,0.1999961787267676
0.0,0.54,1,0,0,0,0,1,0.19999508121989407
0.0,0.55,1,0,0,0,0,1,0.19999673718508168
0.0,0.56,1,0,0,0,0,1,0.19999590375591342
0.0,0.5700000000000001,1,0,0,0,0,1,0.1999970789664787
0.0,0.58,1,0,0,0,0,1,0.1999958298363212
0.0,0.59,1,0,0,0,0,1,0.19999302688897286
0.0,0.6,1,0,0,0,0,1,0.19999585611940496
0.0,0.61,1,0,0,0,0,1,0.19999534556876875
0.0,0.62,1,0,0,0,0,1,0.19999491736622582
0.0,0.63,1,0,0,0,0,1,0.19999454741667286
0.0,0.64,1,0,0,0,0,1,0.1999952094017407
0.0,0.65,1,0,0,0,0,1,0.20000595695203005
0.0,0.66,1,0,0,0,0,1,0.199996464492746
0.0,0.67,1,0,0,0,0,1,0.20000306858254124
0.0,0.68,1,0,0,0,0,1,0.20000700252625242
0.0,0.6900000000000001,8,0,1,0,0,0,0.30999222736595955
0.0,0.7000000000000001,8,0,1,0,0,0,0.29999298349216874
0.0,0.71,8,0,1,0,0,0,0.2899933581823323
0.0,0.72,8,0,1,0,0,0,0.27999341353058715
0.0,0.73,8,0,1,0,0,0,0.27000609078477045
0.0,0.74,8,0,1,0,0,0,0.25999438707573214
0.0,0.75,8,0,1,0,0,0,0.24999474878599603
0.0,0.76,8,0,1,0,0,0,0.23999525114159095
0.0,0.77,8,0,1,0,0,0,0.22999585820671029
0.0,0.78,8,0,1,0,0,0,0.21999515452055576
0.0,0.79,8,0,1,0,0,0,0.20999328594003597
0.001,0.0,1,0,0,0,0,1,0.20000677409419865
0.001,0.01,1,0,0,0,0,1,0.20000443384369934
0.001,0.02,1,0,0,0,0,1,0.20000600114830847
0.001,0.03,1,0,0,0,0,1,0.20000668870252972
0.001,0.04,1,0,0,0,0,1,0.2000071294335141
0.001,0.05,1,0,0,0,0,1,0.2000074447579751
0.001,0.06,1,0,0,0,0,1,0.2000065905637021
0.001,0.07,1,0,0,0,0,1,0.2000055184285699
0.001,0.08,1,0,0,0,0,1,0.20000490586112904
0.001,0.09,1,0,0,0,0,1,0.20000529616976312
0.001,0.1,1,0,0,0,0,1,0.20000567975479325
0.001,0.11,1,0,0,0,0,1,0.20000542155875609
0.001,0.12,1,0,0,0,0,1,0.20000543659783937
0.001,0.13,1,0,0,0,0,1,0.20000504828621382
0.001,0.14,1,0,0,0,0,1,0.20000497500606826
0.001,0.15,1,0,0,0,0,1,0.20000634719475693
