Apostasy,a,State,Oscilate,CB,SB,CN,SN,R
0.0,0.0,4,0,0,1,0,0,0.20000394438105276
0.0,0.01,4,0,0,1,0,0,0.20000447866567192
0.0,0.02,4,0,0,1,0,0,0.20000584611368327
0.0,0.03,4,0,0,1,0,0,0.20000505221077716
0.0,0.04,4,0,0,1,0,0,0.2000040857851843
0.0,0.05,4,0,0,1,0,0,0.2000048262009521
0.0,0.06,4,0,0,1,0,0,0.20000477903621777
0.0,0.07,4,0,0,1,0,0,0.20000553042192212
0.0,0.08,4,0,0,1,0,0,0.2000060504913398
0.0,0.09,4,0,0,1,0,0,0.20000565494712896
0.0,0.1,4,0,0,1,0,0,0.20000527213834146
0.0,0.11,4,0,0,1,0,0,0.20000751599243471
0.0,0.12,4,0,0,1,0,0,0.20000411893464828
0.0,0.13,4,0,0,1,0,0,0.2000072485633172
0.0,0.14,4,0,0,1,0,0,0.2000044304728559
0.0,0.15,4,0,0,1,0,0,0.20000451737384736
0.0,0.16,4,0,0,1,0,0,0.20000361047363646
0.0,0.17,4,0,0,1,0,0,0.2000051388676412
0.0,0.18,4,0,0,1,0,0,0.20000478065699606
0.0,0.19,4,0,0,1,0,0,0.20000458226851875
0.0,0.2,4,0,0,1,0,0,0.20000392085153412
0.0,0.21,4,0,0,1,0,0,0.2000044079055318
0.0,0.22,4,0,0,1,0,0,0.2000060702410038
0.0,0.23,4,0,0,1,0,0,0.20000479811086638
0.0,0.24,4,0,0,1,0,0,0.2000042056003993
0.0,0.25,4,0,0,1,0,0,0.20000521348855524
0.0,0.26,4,0,0,1,0,0,0.20000520433506377
0.0,0.27,4,0,0,1,0,0,0.2000063470380183
0.0,0.28,4,0,0,1,0,0,0.20000442349922043
0.0,0.29,4,0,0,1,0,0,0.2000039376793107
0.0,0.3,4,0,0,1,0,0,0.1999953455239631
0.0,0.31,4,0,0,1,0,0,0.19999610358127387
0.0,0.32,4,0,0,1,0,0,0.1999952508076042
0.0,0.33,4,0,0,1,0,0,0.1999963938353983
0.0,0.34,4,0,0,1,0,0,0.19999613056865934
0.0,0.35000000000000003,4,0,0,1,0,0,0.19999677897919854
0.0,0.36,4,0,0,1,0,0,0.19999616350184157
0.0,0.37,4,0,0,1,0,0,0.19999583588460135
0.0,0.38,4,0,0,1,0,0,0.19999572420414338
0.0,0.39,4,0,0,1,0,0,0.19999502959849894
0.0,0.4,4,0,0,1,0,0,0.19999487162048613
0.0,0.41000000000000003,4,0,0,1,0,0,0.19999564274469575
0.0,0.42,4,0,0,1,0,0,0.19999739351883117
0.0,0.43,4,0,0,1,0,0,0.19999710886160943
0.0,0.44,4,0,0,1,0,0,0.19999724857078902
0.0,0.45,4,0,0,1,0,0,0.19999613999302904
0.0,0.46,4,0,0,1,0,0,0.19999665036337955
0.0,0.47000000000000003,4,0,0,1,0,0,0.19999737159192524
0.0,0.48,4,0,0,1,0,0,0.19999530603043267
0.0,0.49,4,0,0,1,0,0,0.19999720006850247
0.0,0.5,4,0,0,1,0,0,0.20000662924612966
0.0,0.51,4,0,0,1,0,0,0.20000437200926785
0.0,0.52,4,0,0,1,0,0,0.20000594136943398
0.0,0.53,4,0,0,1,0,0,0.20000516969346263
0.0,0.54,4,0,0,1,0,0,0.1999957189891017
0.0,0.55,4,0,0,1,0,0,0.19999506661204397
0.0,0.56,4,0,0,1,0,0,0.19999522048453583
0.0,0.5700000000000001,4,0,0,1,0,0,0.20000523652618699
0.0,0.58,4,0,0,1,0,0,0.19999514769947221
0.0,0.59,4,0,0,1,0,0,0.19999544084135326
0.0,0.6,4,0,0,1,0,0,0.20000496176264274
0.0,0.61,4,0,0,1,0,0,0.20000640568211392
0.0,0.62,4,0,0,1,0,0,0.2000060280906642
0.0,0.63,4,0,0,1,0,0,0.19999344976402658
0.0,0.64,4,0,0,1,0,0,0.19999580850432505
0.0,0.65,4,0,0,1,0,0,0.19999543980482384
0.0,0.66,4,0,0,1,0,0,0.19999525949186828
0.0,0.67,4,0,0,1,0,0,0.19999611724401314
0.0,0.68,4,0,0,1,0,0,0.1999930495587304
0.0,0.6900000000000001,4,0,0,1,0,0,0.1999961791475108
0.0,0.7000000000000001,4,0,0,1,0,0,0.20000428417229488
0.0,0.71,4,0,0,1,0,0,0.20000492853942722
0.0,0.72,4,0,0,1,0,0,0.20000530393950117
0.0,0.73,4,0,0,1,0,0,0.20000488786108206
0.0,0.74,12,0,1,1,0,0,0.20002061623251993
0.0,0.75,12,0,1,1,0,0,0.21338960834765638
0.0,0.76,8,0,1,0,0,0,0.24000411224754356
0.0,0.77,8,0,1,0,0,0,0.23000350052381574
0.0,0.78,8,0,1,0,0,0,0.2200052158897941
0.0,0.79,8,0,1,0,0,0,0.21000608880975252
0.001,0.0,4,0,0,1,0,0,0.2000039965176064
0.001,0.01,4,0,0,1,0,0,0.2000046398637559
0.001,0.02,4,0,0,1,0,0,0.20000461962143212
0.001,0.03,4,0,0,1,0,0,0.2000055042080506
0.001,0.04,4,0,0,1,0,0,0.20000544761618927
0.001,0.05,4,0,0,1,0,0,0.20000494880044886
0.001,0.06,4,0,0,1,0,0,0.2000057886966023
0.001,0.07,4,0,0,1,0,0,0.20000507694895583
0.001,0.08,4,0,0,1,0,0,0.20000509726416485
0.001,0.09,4,0,0,1,0,0,0.20000545636040284
0.001,0.1,4,0,0,1,0,0,0.2000051232684415
0.001,0.11,4,0,0,1,0,0,0.20000683365131836
0.001,0.12,4,0,0,1,0,0,0.20000552451871134
0.001,0.13,4,0,0,1,0,0,0.20000448727120668
0.001,0.14,4,0,0,1,0,0,0.2000046456414393
0.001,0.15,4,0,0,1,0,0,0.20000449030019823
0.001,0.16,4,0,0,1,0,0,0.20000483447128406
0.001,0.17,4,0,0,1,0,0,0.20000516189401982
0.001,0.18,4,0,0,1,0,0,0.20000453461207357
0.001,0.19,4,0,0,1,0,0,0.20000400716854905
0.001,0.2,4,0,0,1,0,0,0.2000042258660556
0.001,0.21,4,0,0,1,0,0,0.20000608338992834
0.001,0.22,4,0,0,1,0,0,0.20000600939641647
0.001,0.23,4,0,0,1,0,0,0.2000051683900558
0.001,0.24,4,0,0,1,0,0,0.2000057274528495
0.001,0.25,4,0,0,1,0,0,0.20000498559834728
0.001,0.26,4,0,0,1,0,0,0.20000455563163627
0.001,0.27,4,0,0,1,0,0,0.20000570787830574
0.001,0.28,4,0,0,1,0,0,0.2000047991331655
0.001,0.29,4,0,0,1,0,0,0.20000519235347541
0.001,0.3,4,0,0,1,0,0,0.19999579676643128
0.001,0.31,4,0,0,1,0,0,0.19999483351338002
0.001,0.32,4,0,0,1,0,0,0.19999484102554863
0.001,0.33,4,0,0,1,0,0,0.19999708656836673
0.001,0.34,4,0,0,1,0,0,0.1999956417254203
0.001,0.35000000000000003,4,0,0,1,0,0,0.19999636728802403
0.001,0.36,4,0,0,1,0,0,0.19999535410923808
0.001,0.37,4,0,0,1,0,0,0.1999959461390202
0.001,0.38,4,0,0,1,0,0,0.19999569006389564
0.001,0.39,4,0,0,1,0,0,0.1999949331301365
0.001,0.4,4,0,0,1,0,0,0.19999504421184075
0.001,0.41000000000000003,4,0,0,1,0,0,0.19999319070848245
0.001,0.42,4,0,0,1,0,0,0.19999447526416994
0.001,0.43,4,0,0,1,0,0,0.19999576682392203
0.001,0.44,4,0,0,1,0,0,0.19999708866793448
0.001,0.45,4,0,0,1,0,0,0.199997243753383
0.001,0.46,4,0,0,1,0,0,0.19999485933487812
0.001,0.47000000000000003,4,0,0,1,0,0,0.1999973228243118
0.001,0.48,4,0,0,1,0,0,0.199996202346482
0.001,0.49,4,0,0,1,0,0,0.19999621226556402
