Apostasy,a,State,Oscilate,CB,SB,CN,SN,R
0.002,0.53,1,0,0,0,0,1,0.19999592457567308
0.002,0.54,1,0,0,0,0,1,0.19999716404381562
0.002,0.55,1,0,0,0,0,1,0.19999616475673607
0.002,0.56,1,0,0,0,0,1,0.19999593104214278
0.002,0.5700000000000001,1,0,0,0,0,1,0.19999522144518492
0.002,0.58,1,0,0,0,0,1,0.19999372071296215
0.002,0.59,1,0,0,0,0,1,0.19999590815478618
0.002,0.6,1,0,0,0,0,1,0.19999522933471234
0.002,0.61,1,0,0,0,0,1,0.19999325377607605
0.002,0.62,1,0,0,0,0,1,0.19999527745208462
0.002,0.63,1,0,0,0,0,1,0.1999959414310823
0.002,0.64,1,0,0,0,0,1,0.19999676466366792
0.002,0.65,1,0,0,0,0,1,0.20000440187207058
0.002,0.66,1,0,0,0,0,1,0.2000051653400716
0.002,0.67,1,0,0,0,0,1,0.20000570780911647
0.002,0.68,1,0,0,0,0,1,0.20000474935380877
0.002,0.6900000000000001,1,0,0,0,0,1,0.20000392746248405
0.002,0.7000000000000001,1,0,0,0,0,1,0.19999397795395082
0.002,0.71,1,0,0,0,0,1,0.20000560008048746
0.002,0.72,8,0,1,0,0,0,0.2799925886286735
0.002,0.73,8,0,1,0,0,0,0.2699942251847341
0.002,0.74,8,0,1,0,0,0,0.2599948477962803
0.002,0.75,8,0,1,0,0,0,0.24999250933804493
0.002,0.76,8,0,1,0,0,0,0.23999532820013478
0.002,0.77,8,0,1,0,0,0,0.22999579412585464
0.002,0.78,8,0,1,0,0,0,0.21999547938484043
0.002,0.79,8,0,1,0,0,0,0.2099951660165252
0.003,0.0,1,0,0,0,0,1,0.20000396576854082
0.003,0.01,1,0,0,0,0,1,0.20000464677261479
0.003,0.02,1,0,0,0,0,1,0.20000476381415858
0.003,0.03,1,0,0,0,0,1,0.20000494248151535
0.003,0.04,1,0,0,0,0,1,0.20000506349337388
0.003,0.05,1,0,0,0,0,1,0.20000638528305062
0.003,0.06,1,0,0,0,0,1,0.20000675880886937
0.003,0.07,1,0,0,0,0,1,0.20000620910688857
0.003,0.08,1,0,0,0,0,1,0.20000383280675654
0.003,0.09,1,0,0,0,0,1,0.20000453549861633
0.003,0.1,1,0,0,0,0,1,0.20000441259609741
0.003,0.11,1,0,0,0,0,1,0.20000364233132237
0.003,0.12,1,0,0,0,0,1,0.2000062772845472
0.003,0.13,1,0,0,0,0,1,0.200004591777795
0.003,0.14,1,0,0,0,0,1,0.2000043453624676
0.003,0.15,1,0,0,0,0,1,0.2000050501179356
0.003,0.16,1,0,0,0,0,1,0.20000444814894744
0.003,0.17,1,0,0,0,0,1,0.20000409692716545
0.003,0.18,1,0,0,0,0,1,0.20000540041491208
0.003,0.19,1,0,0,0,0,1,0.20000561492862826
0.003,0.2,1,0,0,0,0,1,0.20000475080692398
0.003,0.21,1,0,0,0,0,1,0.20000398065157127
0.003,0.22,1,0,0,0,0,1,0.20000431949741607
0.003,0.23,1,0,0,0,0,1,0.20000505737983557
0.003,0.24,1,0,0,0,0,1,0.200005712991309
0.003,0.25,1,0,0,0,0,1,0.20000496170264892
0.003,0.26,1,0,0,0,0,1,0.200003219385032
0.003,0.27,1,0,0,0,0,1,0.20000434497315991
0.003,0.28,1,0,0,0,0,1,0.20000573808485783
0.003,0.29,1,0,0,0,0,1,0.20000520476197584
0.003,0.3,1,0,0,0,0,1,0.19999494140212845
0.003,0.31,1,0,0,0,0,1,0.2000049023121873
0.003,0.32,1,0,0,0,0,1,0.19999586612427633
0.003,0.33,1,0,0,0,0,1,0.19999542085996003
0.003,0.34,1,0,0,0,0,1,0.19999477549877626
0.003,0.35000000000000003,1,0,0,0,0,1,0.1999936023963601
0.003,0.36,1,0,0,0,0,1,0.19999614108389532
0.003,0.37,1,0,0,0,0,1,0.1999957116700229
0.003,0.38,1,0,0,0,0,1,0.1999952537019968
0.003,0.39,1,0,0,0,0,1,0.19999649718486193
0.003,0.4,1,0,0,0,0,1,0.19999486055797774
0.003,0.41000000000000003,1,0,0,0,0,1,0.1999948302850478
0.003,0.42,1,0,0,0,0,1,0.1999960962349827
0.003,0.43,1,0,0,0,0,1,0.19999611911436527
0.003,0.44,1,0,0,0,0,1,0.19999601534576217
0.003,0.45,1,0,0,0,0,1,0.19999433765477967
0.003,0.46,1,0,0,0,0,1,0.1999954363055039
0.003,0.47000000000000003,1,0,0,0,0,1,0.19999324345664382
0.003,0.48,1,0,0,0,0,1,0.19999290845412157
0.003,0.49,1,0,0,0,0,1,0.19999578182640165
0.003,0.5,1,0,0,0,0,1,0.19999689578872343
0.003,0.51,1,0,0,0,0,1,0.19999493950214145
0.003,0.52,1,0,0,0,0,1,0.1999963045629201
0.003,0.53,1,0,0,0,0,1,0.19999501734993125
0.003,0.54,1,0,0,0,0,1,0.19999526996892722
0.003,0.55,1,0,0,0,0,1,0.1999955460763743
0.003,0.56,1,0,0,0,0,1,0.1999961042727696
0.003,0.5700000000000001,1,0,0,0,0,1,0.19999497609042885
0.003,0.58,1,0,0,0,0,1,0.19999436273036197
0.003,0.59,1,0,0,0,0,1,0.19999617857282978
0.003,0.6,1,0,0,0,0,1,0.19999613365073887
0.003,0.61,1,0,0,0,0,1,0.19999524693659496
0.003,0.62,1,0,0,0,0,1,0.19999421217815708
0.003,0.63,1,0,0,0,0,1,0.19999314413138786
0.003,0.64,1,0,0,0,0,1,0.2000060696634295
0.003,0.65,1,0,0,0,0,1,0.200004611707244
0.003,0.66,1,0,0,0,0,1,0.2000045278782376
0.003,0.67,1,0,0,0,0,1,0.19999495832861575
0.003,0.68,1,0,0,0,0,1,0.20000452008445876
0.003,0.6900000000000001,1,0,0,0,0,1,0.200005228462977
0.003,0.7000000000000001,1,0,0,0,0,1,0.19999592793448567
0.003,0.71,1,0,0,0,0,1,0.19999587109453834
0.003,0.72,8,0,1,0,0,0,0.27999425350430396
0.003,0.73,8,0,1,0,0,0,0.2699931730902023
0.003,0.74,8,0,1,0,0,0,0.25999436334641535
0.003,0.75,8,0,1,0,0,0,0.24999398165166475
0.003,0.76,8,0,1,0,0,0,0.23999482804887548
0.003,0.77,8,0,1,0,0,0,0.22999483198327617
0.003,0.78,8,0,1,0,0,0,0.2199961796226905
0.003,0.79,8,0,1,0,0,0,0.20999511312506033
0.004,0.0,1,0,0,0,0,1,0.2000052704354374
0.004,0.01,1,0,0,0,0,1,0.200004817659883
0.004,0.02,1,0,0,0,0,1,0.20000537041953176
0.004,0.03,1,0,0,0,0,1,0.20000525943908382
0.004,0.04,1,0,0,0,0,1,0.2000049259760696
0.004,0.05,1,0,0,0,0,1,0.2000052049368898
0.004,0.06,1,0,0,0,0,1,0.20000621510921984
0.004,0.07,1,0,0,0,0,1,0.2000053653555969
0.004,0.08,1,0,0,0,0,1,0.20000541195602808
0.004,0.09,1,0,0,0,0,1,0.20000493674834643
0.004,0.1,1,0,0,0,0,1,0.20000322988688685
0.004,0.11,1,0,0,0,0,1,0.20000316791544723
0.004,0.12,1,0,0,0,0,1,0.2000072121618172
0.004,0.13,1,0,0,0,0,1,0.20000445850307788
0.004,0.14,1,0,0,0,0,1,0.20000454183152025
0.004,0.15,1,0,0,0,0,1,0.20000412209328589
0.004,0.16,1,0,0,0,0,1,0.2000049499298428
0.004,0.17,1,0,0,0,0,1,0.20000450102686565
0.004,0.18,1,0,0,0,0,1,0.20000477844185513
0.004,0.19,1,0,0,0,0,1,0.20000676337978107
0.004,0.2,1,0,0,0,0,1,0.20000626228737275
0.004,0.21,1,0,0,0,0,1,0.20000526904234142
0.004,0.22,1,0,0,0,0,1,0.20000447272556773
0.004,0.23,1,0,0,0,0,1,0.20000429731267622
0.004,0.24,1,0,0,0,0,1,0.2000052922506136
0.004,0.25,1,0,0,0,0,1,0.2000055426987486
0.004,0.26,1,0,0,0,0,1,0.2000038464874835
0.004,0.27,1,0,0,0,0,1,0.2000046439575732
0.004,0.28,1,0,0,0,0,1,0.2000067933158956
0.004,0.29,1,0,0,0,0,1,0.20000433586939834
0.004,0.3,1,0,0,0,0,1,0.20000402480032212
0.004,0.31,1,0,0,0,0,1,0.20000532306341365
0.004,0.32,1,0,0,0,0,1,0.19999388999592688
0.004,0.33,1,0,0,0,0,1,0.19999523896382332
0.004,0.34,1,0,0,0,0,1,0.19999505918906058
0.004,0.35000000000000003,1,0,0,0,0,1,0.1999950606955636
0.004,0.36,1,0,0,0,0,1,0.19999508365933083
0.004,0.37,1,0,0,0,0,1,0.19999412107586015
0.004,0.38,1,0,0,0,0,1,0.19999667284374778
0.004,0.39,1,0,0,0,0,1,0.19999609236738583
0.004,0.4,1,0,0,0,0,1,0.19999485414591314
0.004,0.41000000000000003,1,0,0,0,0,1,0.19999592503841296
0.004,0.42,1,0,0,0,0,1,0.1999956931854726
0.004,0.43,1,0,0,0,0,1,0.19999611646168317
0.004,0.44,1,0,0,0,0,1,0.1999968699916594
0.004,0.45,1,0,0,0,0,1,0.19999549164485456
0.004,0.46,1,0,0,0,0,1,0.19999522408846374
0.004,0.47000000000000003,1,0,0,0,0,1,0.1999957530768186
0.004,0.48,1,0,0,0,0,1,0.19999541499747905
0.004,0.49,1,0,0,0,0,1,0.1999951085762425
0.004,0.5,1,0,0,0,0,1,0.1999953112539767
0.004,0.51,1,0,0,0,0,1,0.19999518220457327
0.004,0.52,1,0,0,0,0,1,0.19999546178124206
0.004,0.53,1,0,0,0,0,1,0.19999596807985914
0.004,0.54,1,0,0,0,0,1,0.1999963029513665
0.004,0.55,1,0,0,0,0,1,0.19999667123749737
0.004,0.56,1,0,0,0,0,1,0.19999505138010573
0.004,0.5700000000000001,1,0,0,0,0,1,0.1999939822984447
0.004,0.58,1,0,0,0,0,1,0.19999545050554218
0.004,0.59,1,0,0,0,0,1,0.19999649593930563
0.004,0.6,1,0,0,0,0,1,0.1999950832322728
0.004,0.61,1,0,0,0,0,1,0.19999399596051887
0.004,0.62,1,0,0,0,0,1,0.19999459954287271
0.004,0.63,1,0,0,0,0,1,0.19999660450789433
0.004,0.64,1,0,0,0,0,1,0.19999616853442212
0.004,0.65,1,0,0,0,0,1,0.20000588392117055
0.004,0.66,1,0,0,0,0,1,0.19999516924713076
0.004,0.67,1,0,0,0,0,1,0.19999569919843033
0.004,0.68,1,0,0,0,0,1,0.2000062513473262
0.004,0.6900000000000001,1,0,0,0,0,1,0.19999570206494208
0.004,0.7000000000000001,1,0,0,0,0,1,0.19999448911347195
0.004,0.71,1,0,0,0,0,1,0.19999612226852195
0.004,0.72,1,0,0,0,0,1,0.1999955719356772
0.004,0.73,8,0,1,0,0,0,0.26999432507213894
0.004,0.74,8,0,1,0,0,0,0.2599949564711516
0.004,0.75,8,0,1,0,0,0,0.24999492405784704
